0,A,133.4499969482422,135.42999267578125,32800.0
1,AAL,12.9399995803833,13.640000343322754,22300.0
2,AAP,124.9000015258789,125.52999877929688,25100.0
3,AAPL,168.49000549316406,169.67999267578125,9200.0
4,ABBV,147.97000122070312,151.1199951171875,23800.0
5,ABC,167.08999633789062,166.85000610351562,38700.0
6,ABT,109.44000244140624,110.47000122070312,35900.0
7,ACGL,73.62000274658203,75.06999969482422,4700.0
8,ACN,273.7200012207031,280.2900085449219,34500.0
9,ADBE,371.4200134277344,377.55999755859375,11200.0
10,ADI,177.63999938964844,179.8800048828125,17800.0
11,ADM,77.55999755859375,78.08000183105469,24600.0
12,ADP,216.4900054931641,220.0,27800.0
13,ADSK,189.4199981689453,194.7899932861328,38700.0
14,AEE,89.62999725341797,88.97000122070312,23200.0
15,AEP,92.62000274658205,92.41999816894533,21300.0
16,AES,23.31999969482422,23.65999984741211,2900.0
17,AFL,69.43000030517578,69.8499984741211,47900.0
18,AIG,51.77000045776367,53.040000915527344,8200.0
19,AIZ,120.30999755859376,123.12999725341795,27700.0
20,AJG,208.0500030517578,208.05999755859372,25600.0
21,AKAM,81.19999694824219,81.97000122070312,2500.0
22,ALB,185.3000030517578,185.4600067138672,16500.0
23,ALGN,317.0199890136719,325.29998779296875,48600.0
24,ALK,43.09000015258789,43.459999084472656,43900.0
25,ALL,115.7699966430664,115.76000213623048,28700.0
26,ALLE,111.3000030517578,110.4800033569336,33000.0
27,AMAT,111.6999969482422,113.02999877929688,13500.0
28,AMCR,10.90999984741211,10.970000267028809,31800.0
29,AMD,87.0199966430664,89.37000274658203,2100.0
30,AME,136.88999938964844,137.92999267578125,12900.0
31,AMGN,236.82000732421875,239.7400054931641,21400.0
32,AMP,300.6600036621094,305.1199951171875,44200.0
33,AMT,205.66000366210935,204.38999938964844,32300.0
34,AMZN,107.7300033569336,105.4499969482422,15000.0
35,ANET,156.0,160.16000366210938,35000.0
36,ANSS,313.489990234375,313.9200134277344,43700.0
37,AON,327.7900085449219,325.17999267578125,1100.0
38,AOS,69.45999908447266,68.29000091552734,24900.0
39,APA,35.560001373291016,36.84999847412109,44700.0
40,APD,291.010009765625,294.3599853515625,30900.0
41,APH,74.72000122070312,75.47000122070312,7900.0
42,APTV,101.44000244140624,102.86000061035156,2800.0
43,ARE,122.8000030517578,124.18000030517578,46400.0
44,ATO,114.55999755859376,114.13999938964844,34200.0
45,ATVI,77.66000366210938,77.70999908447266,23700.0
46,AVB,178.85000610351562,180.3699951171875,45300.0
47,AVGO,619.0700073242188,626.5,17800.0
48,AVY,169.99000549316406,174.47999572753906,47900.0
49,AWK,148.36000061035156,148.25,20000.0
50,AXP,157.3000030517578,161.33999633789062,29800.0
51,AZO,2654.840087890625,2663.31005859375,6100.0
52,BA,204.50999450683597,206.77999877929688,9300.0
53,BAC,28.530000686645508,29.280000686645508,32800.0
54,BALL,52.84999847412109,53.18000030517578,5900.0
55,BAX,46.93999862670898,47.68000030517578,17900.0
56,BBWI,34.540000915527344,35.099998474121094,39600.0
57,BBY,73.63999938964844,74.5199966430664,45600.0
58,BDX,262.94000244140625,264.3099975585937,14200.0
59,BEN,26.51000022888184,26.8799991607666,15300.0
60,BF-B,65.12999725341797,65.08999633789062,32000.0
61,BG,92.12000274658205,93.5999984741211,43300.0
62,BIIB,293.9100036621094,304.2300109863281,7700.0
63,BIO,437.9200134277344,450.7900085449219,48100.0
64,BK,41.70000076293945,42.59000015258789,18000.0
65,BKNG,2631.18994140625,2686.31005859375,45300.0
66,BKR,28.649999618530277,29.239999771118164,12600.0
67,BLK,659.8300170898438,671.2000122070312,29000.0
68,BMY,67.13999938964844,66.7699966430664,44000.0
69,BR,143.39999389648438,145.41000366210938,37200.0
70,BRK-B,325.44000244140625,328.54998779296875,9600.0
71,BRO,63.81999969482422,64.38999938964844,29100.0
72,BSX,51.880001068115234,52.119998931884766,5100.0
73,BWA,47.43999862670898,48.130001068115234,33300.0
74,BXP,52.63999938964844,53.36000061035156,35000.0
75,C,46.18999862670898,47.06999969482422,16400.0
76,CAG,37.84000015258789,37.959999084472656,24300.0
77,CAH,81.66999816894531,82.0999984741211,35000.0
78,CARR,41.560001373291016,41.81999969482422,33900.0
79,CAT,213.2400054931641,218.8000030517578,18800.0
80,CB,198.6199951171875,201.55999755859372,35400.0
81,CBOE,138.27000427246094,139.6999969482422,3300.0
82,CBRE,75.94999694824219,76.66000366210938,25400.0
83,CCI,122.75,123.08999633789062,41400.0
84,CCL,8.84000015258789,9.210000038146973,7600.0
85,CDAY,63.119998931884766,63.47999954223633,36500.0
86,CDNS,207.8300018310547,209.4499969482422,46200.0
87,CDW,168.50999450683594,169.58999633789062,26300.0
88,CE,102.31999969482422,106.23999786376952,47200.0
89,CEG,76.9000015258789,77.4000015258789,33400.0
90,CF,69.41999816894531,71.58000183105469,34600.0
91,CFG,29.8700008392334,30.940000534057617,47600.0
92,CHD,97.7300033569336,97.12000274658205,8500.0
93,CHRW,99.8499984741211,100.87000274658205,2000.0
94,CHTR,345.6000061035156,368.7000122070313,24900.0
95,CI,249.6199951171875,253.2899932861328,11900.0
96,CINF,106.77999877929688,106.44000244140624,36500.0
97,CL,79.06999969482422,79.80000305175781,33400.0
98,CLX,166.38999938964844,165.6199951171875,6500.0
99,CMA,40.90999984741211,43.369998931884766,800.0
100,CMCSA,40.040000915527344,41.369998931884766,5400.0
101,CME,183.9499969482422,185.7700042724609,8900.0
102,CMG,2031.1300048828125,2067.6201171875,10700.0
103,CMI,230.7700042724609,235.0399932861328,6100.0
