profit, cluster
-3.44998, 0
1.37, 1
1.44, 1
-3.53, 0
5.2, 1
-1.27, 1
-0.0400009, 1
-0.849998, 1
-1.28, 1
-4.84, 0
-0.939999, 1
-16.96, 2
-0.209999, 1
-0.449997, 1
1.3, 1
-2.12, 1
-2.16, 1
0.190002, 1
-1.76, 1
-17.49, 2
-0.410004, 1
-0.350006, 1
-1.71, 1
-5.49001, 0
-1.36, 1
-1, 1
-9.84, 0
-0.810001, 1
-3.17, 0
-1.16, 1
-0.57, 1
-3.54999, 0
-1.09003, 1
-0.709999, 1
-1.93, 1
-9.66998, 0
-1, 1
-2.69, 1
-1.61, 1
-0.599998, 1
-0.389999, 1
-3.39999, 0
-3.79, 0
-1.25, 1
0.039999, 1
0.639984, 1
-0.970001, 1
-0.230001, 1
0.0699997, 1
-7.82001, 0
-6.13, 0
0.720001, 1
-1.43, 1
-0.370003, 1
-0.699999, 1
-3.83002, 0
-1.92, 1
-1.09, 1
-9.52002, 0
-1.09, 1
-0.449997, 1
-0.299995, 1
-0.150002, 1
-1.52, 1
-3.38, 0
2.91, 1
-7.55, 0
-0.949997, 1
-6, 0
-1.49, 1
-2.54001, 1
-0.389999, 1
-18.58, 2
-0.220001, 1
-1.09, 1
-2.39001, 1
2.22998, 1
-8.26999, 0
-2.28999, 1
-5, 0
-1.66, 1
-0.969999, 1
-0.339996, 1
-0.82, 1
-0.41, 1
0.270004, 1
-6.31999, 0
-1.24001, 1
-4.92, 0
-14.87, 2
-1.23, 1
-0.150001, 1
-1.59, 1
-1.06, 1
-1.38998, 1
-0.239998, 1
-0.34, 1
0.0100021, 1
-0.419998, 1
-1.79, 1
-0.130001, 1
-5.21001, 0
0.429993, 1
-0.4, 1
-0.600006, 1
-0.880001, 1
-0.0599995, 1
-0.220001, 1
12.69, 4
-0.18, 1
1.18, 1
0.0499954, 1
-1.21, 1
-0.41, 1
-1.93, 1
-1.22, 1
0.449997, 1
-0.609985, 1
-0.219999, 1
-0.0800018, 1
