A,open,133.4499969482422
A,close,135.42999267578125
A,volume,2032800.0
AAL,open,12.9399995803833
AAL,close,13.640000343322754
AAL,volume,45022300.0
AAP,open,124.9000015258789
AAP,close,125.52999877929688
AAP,volume,675100.0
AAPL,open,168.49000549316406
AAPL,close,169.67999267578125
AAPL,volume,55209200.0
ABBV,open,147.97000122070312
ABBV,close,151.1199951171875
ABBV,volume,7123800.0
ABC,open,167.08999633789062
ABC,close,166.85000610351562
ABC,volume,988700.0
ABT,open,109.44000244140625
ABT,close,110.47000122070312
ABT,volume,4835900.0
ACGL,open,73.62000274658203
ACGL,close,75.06999969482422
ACGL,volume,2204700.0
ACN,open,273.7200012207031
ACN,close,280.2900085449219
ACN,volume,2084500.0
ADBE,open,371.4200134277344
ADBE,close,377.55999755859375
ADBE,volume,2061200.0
ADI,open,177.63999938964844
ADI,close,179.8800048828125
ADI,volume,3167800.0
ADM,open,77.55999755859375
ADM,close,78.08000183105469
ADM,volume,3474600.0
ADP,open,216.49000549316406
ADP,close,220.0
ADP,volume,2427800.0
ADSK,open,189.4199981689453
ADSK,close,194.7899932861328
ADSK,volume,1138700.0
AEE,open,89.62999725341797
AEE,close,88.97000122070312
AEE,volume,873200.0
AEP,open,92.62000274658203
AEP,close,92.41999816894531
AEP,volume,2621300.0
AES,open,23.31999969482422
AES,close,23.65999984741211
AES,volume,3752900.0
AFL,open,69.43000030517578
AFL,close,69.8499984741211
AFL,volume,4197900.0
AIG,open,51.77000045776367
AIG,close,53.040000915527344
AIG,volume,3508200.0
AIZ,open,120.30999755859375
AIZ,close,123.12999725341797
AIZ,volume,477700.0
AJG,open,208.0500030517578
AJG,close,208.05999755859375
AJG,volume,1675600.0
AKAM,open,81.19999694824219
AKAM,close,81.97000122070312
AKAM,volume,1152500.0
ALB,open,185.3000030517578
ALB,close,185.4600067138672
ALB,volume,2516500.0
ALGN,open,317.0199890136719
ALGN,close,325.29998779296875
ALGN,volume,1098600.0
ALK,open,43.09000015258789
ALK,close,43.459999084472656
ALK,volume,1893900.0
ALL,open,115.7699966430664
ALL,close,115.76000213623047
ALL,volume,2228700.0
ALLE,open,111.30000305175781
ALLE,close,110.4800033569336
ALLE,volume,1233000.0
AMAT,open,111.69999694824219
AMAT,close,113.02999877929688
AMAT,volume,8063500.0
AMCR,open,10.90999984741211
AMCR,close,10.970000267028809
AMCR,volume,12331800.0
AMD,open,87.0199966430664
AMD,close,89.37000274658203
AMD,volume,50652100.0
AME,open,136.88999938964844
AME,close,137.92999267578125
AME,volume,1412900.0
AMGN,open,236.82000732421875
AMGN,close,239.74000549316406
AMGN,volume,2721400.0
AMP,open,300.6600036621094
AMP,close,305.1199951171875
AMP,volume,594200.0
AMT,open,205.66000366210938
AMT,close,204.38999938964844
AMT,volume,2082300.0
AMZN,open,107.7300033569336
AMZN,close,105.44999694824219
AMZN,volume,130565000.0
ANET,open,156.0
ANET,close,160.16000366210938
ANET,volume,2385000.0
ANSS,open,313.489990234375
ANSS,close,313.9200134277344
ANSS,volume,493700.0
AON,open,327.7900085449219
AON,close,325.17999267578125
AON,volume,1451100.0
AOS,open,69.45999908447266
AOS,close,68.29000091552734
AOS,volume,3274900.0
APA,open,35.560001373291016
APA,close,36.849998474121094
APA,volume,3844700.0
APD,open,291.010009765625
APD,close,294.3599853515625
APD,volume,930900.0
APH,open,74.72000122070312
APH,close,75.47000122070312
APH,volume,3307900.0
APTV,open,101.44000244140625
APTV,close,102.86000061035156
APTV,volume,1402800.0
ARE,open,122.80000305175781
ARE,close,124.18000030517578
ARE,volume,1196400.0
ATO,open,114.55999755859375
ATO,close,114.13999938964844
ATO,volume,684200.0
ATVI,open,77.66000366210938
ATVI,close,77.70999908447266
ATVI,volume,9823700.0
AVB,open,178.85000610351562
AVB,close,180.3699951171875
AVB,volume,1095300.0
AVGO,open,619.0700073242188
AVGO,close,626.5
AVGO,volume,1617800.0
AVY,open,169.99000549316406
AVY,close,174.47999572753906
AVY,volume,747900.0
AWK,open,148.36000061035156
AWK,close,148.25
AWK,volume,770000.0
AXP,open,157.3000030517578
AXP,close,161.33999633789062
AXP,volume,2379800.0
AZO,open,2654.840087890625
AZO,close,2663.31005859375
AZO,volume,106100.0
BA,open,204.50999450683594
BA,close,206.77999877929688
BA,volume,3709300.0
BAC,open,28.530000686645508
BAC,close,29.280000686645508
BAC,volume,45532800.0
BALL,open,52.849998474121094
BALL,close,53.18000030517578
BALL,volume,1155900.0
BAX,open,46.939998626708984
BAX,close,47.68000030517578
BAX,volume,6017900.0
BBWI,open,34.540000915527344
BBWI,close,35.099998474121094
BBWI,volume,3239600.0
BBY,open,73.63999938964844
BBY,close,74.5199966430664
BBY,volume,1645600.0
BDX,open,262.94000244140625
BDX,close,264.30999755859375
BDX,volume,1414200.0
BEN,open,26.510000228881836
BEN,close,26.8799991607666
BEN,volume,6365300.0
BF-B,open,65.12999725341797
BF-B,close,65.08999633789062
BF-B,volume,1482000.0
BG,open,92.12000274658203
BG,close,93.5999984741211
BG,volume,693300.0
BIIB,open,293.9100036621094
BIIB,close,304.2300109863281
BIIB,volume,1957700.0
BIO,open,437.9200134277344
BIO,close,450.7900085449219
BIO,volume,148100.0
BK,open,41.70000076293945
BK,close,42.59000015258789
BK,volume,3668000.0
BKNG,open,2631.18994140625
BKNG,close,2686.31005859375
BKNG,volume,295300.0
BKR,open,28.649999618530273
BKR,close,29.239999771118164
BKR,volume,5412600.0
BLK,open,659.8300170898438
BLK,close,671.2000122070312
BLK,volume,529000.0
BMY,open,67.13999938964844
